algo,settings,numeric_type,problem,optval,elapsed_seconds,warnings,errors
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,2qubits(1),1.254935008191061,22.8479812,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,2qubits(1),1.254934996180558,23.3493885,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,2qubits(1),1.2549349930201852,24.7053996,false,false
SDP,Mosek,Float64,2qubits(1),1.254935008096305,8.6902007,false,false
dual_SDP,Mosek,Float64,2qubits(1),1.254934989188837,8.458288,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,2qubits(1),1.4999999999980487,8.7578906,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,2qubits(1),1.4999999999980487,10.9102688,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,2qubits(1),1.4999999999980487,9.4719107,false,false
SDP,SCS,Float64,2qubits(1),1.254934948577658,9.0020535,false,false
dual_SDP,SCS,Float64,2qubits(1),1.2549349952019324,8.7551425,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,2qubits(1),1.499999999879668,9.0447568,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,2qubits(1),1.499999999879668,9.0737937,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,2qubits(1),1.499999999879668,9.0386222,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,3qubits(1),1.5315835908607798,33.7600876,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,3qubits(1),1.5315835696345121,27.0816645,false,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,3qubits(1),NaN,NaN,false,false
SDP,Mosek,Float64,3qubits(1),1.5315835982285744,9.3482174,false,false
dual_SDP,Mosek,Float64,3qubits(1),1.5315835639649773,9.1440335,false,false
guesswork_upper_bound(max_time=20),Mosek,Float64,3qubits(1),1.55143345179782,9.7268027,false,false
guesswork_upper_bound(max_time=60),Mosek,Float64,3qubits(1),1.55143345179782,9.6872898,false,false
guesswork_upper_bound(max_time=240),Mosek,Float64,3qubits(1),1.55143345179782,9.6855354,false,false
SDP,SCS,Float64,3qubits(1),1.5315836482762242,9.0878709,false,false
dual_SDP,SCS,Float64,3qubits(1),1.5315835761159902,8.8595117,false,false
guesswork_upper_bound(max_time=20),SCS,Float64,3qubits(1),1.5514335194601956,9.4359064,false,false
guesswork_upper_bound(max_time=60),SCS,Float64,3qubits(1),1.5514335194601956,9.4387474,false,false
guesswork_upper_bound(max_time=240),SCS,Float64,3qubits(1),1.5514335194601956,8.8855632,false,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=false)",Float64,Y(1),1.422649790197531,32.9258842,true,false
MISDP,"Pajarito(Mosek, Gurobi, MSD=true)",Float64,Y(1),1.4226497382896444,27.6751057,true,false
MISDP,"Pajarito(SCS, Cbc, MSD=false)",Float64,Y(1),NaN,NaN,false,false
SDP,Mosek,Float64,Y(1),1.422649741094202,9.326394,false,false
dual_SDP,Mosek,Float64,Y(1),1.4226497338611328,9.1115323,false,false
